,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,yulara,-25.2406,130.9889,93.2,27,49,4.61,AU,1615084394
336,lagoa,39.05,-27.9833,60.24,97,22,16.87,PT,1615084394
337,fonte boa,-2.4959,-66.2662,74.95,96,94,2.06,BR,1615084394
338,padang,-0.9492,100.3543,73.4,94,40,2.3,ID,1615084394
339,scottsburgh,-33.65,115.3333,73,76,13,1.99,AU,1615084248
340,hollins,37.3413,-79.9431,41,26,1,9.22,US,1615084394
341,pinotepa nacional,16.3167,-98.0167,70.92,81,0,2.57,MX,1615084394
342,sioux lookout,50.1001,-91.917,26.6,31,40,4.61,CA,1615084395
343,saint-pierre,-21.3393,55.4781,78.8,78,75,11.5,RE,1615084395
344,lander,42.833,-108.7307,51.8,28,1,5.75,US,1615084395
345,geraldton,-28.7667,114.6,87.8,40,0,11.5,AU,1615084257
346,big spring,32.2504,-101.4787,54,50,1,9.22,US,1615084396
347,itacare,-14.2775,-38.9967,82.4,78,40,8.05,BR,1615084396
348,taksimo,56.3444,114.8794,2.34,87,64,3.33,RU,1615084391
349,taoudenni,22.6783,-3.9836,67.96,32,0,9.08,ML,1615084396
350,matamoros,25.5333,-103.25,71.6,23,20,11.83,MX,1615084396
351,srednekolymsk,67.45,153.6833,-9.36,86,100,18.01,RU,1615084396
352,hihifo,-33.65,115.3333,73,76,13,1.99,AU,1615084248
353,belaya gora,68.5333,146.4167,-13.54,87,100,17.81,RU,1615084397
354,eston,51.1501,-108.7514,35.6,86,75,16.11,CA,1615084397
355,dzhusaly,-33.65,115.3333,73,76,13,1.99,AU,1615084248
356,banda aceh,5.5577,95.3222,84,67,74,5.91,ID,1615084397
357,baoqing,46.3317,132.2111,19.89,86,0,6.98,CN,1615084397
358,bandarbeyla,9.4942,50.8122,73.47,81,38,8.55,SO,1615084397
359,mazagao,-0.115,-51.2894,77,100,75,2.3,BR,1615084398
360,bouillante,16.1304,-61.7692,75.2,83,0,6.91,GP,1615084398
361,haifa,32.8156,34.9892,56.32,75,0,9.42,IL,1615084398
362,kattivakkam,13.2167,80.3167,77,88,20,4.61,IN,1615084398
363,portobelo,9.55,-79.65,80.01,69,62,1.99,PA,1615084398
364,manjacaze,-24.7117,33.8828,68.4,95,1,1.12,MZ,1615084399
365,ozgon,-33.65,115.3333,73,76,13,1.99,AU,1615084248
366,shaunavon,49.6501,-108.4181,35.6,75,100,10.36,CA,1615084399
367,sambava,-14.2667,50.1667,74.91,72,51,4.65,MG,1615084399
368,mayo,38.8876,-76.5119,39.2,48,1,6.91,US,1615084345
369,borskoye,53.0333,51.7167,2.41,89,25,3.24,RU,1615084399
